City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Elizabeth,ZA,-33.918,25.5701,65.1,82,90,11.5,overcast clouds
79,Sayyan,YE,15.1718,44.3244,51.6,39,8,2.26,clear sky
80,Gimli,CA,50.6336,-96.9907,35.62,87,100,16.11,overcast clouds
81,Khatanga,RU,71.9667,102.5,-34.26,100,31,3.49,scattered clouds
82,Gouloure,BF,12.2306,-1.9289,78.26,20,68,9.24,broken clouds
83,Mahebourg,MU,-20.4081,57.7,74.25,83,20,5.75,few clouds
84,Calbuco,CL,-41.768,-73.1273,54.61,65,70,14.52,broken clouds
85,Punta Arenas,CL,-53.15,-70.9167,50.11,66,75,17.27,broken clouds
86,Namibe,AO,-15.1961,12.1522,69.85,83,82,4.47,broken clouds
87,Narsaq,GL,60.9167,-46.05,10.62,65,92,6.08,overcast clouds
88,Puerto Ayora,EC,-0.7393,-90.3518,68.05,81,42,9.13,scattered clouds
89,Hilo,US,19.7297,-155.09,79.79,93,90,0.0,mist
90,Chuy,UY,-33.6971,-53.4616,59.07,90,100,15.52,overcast clouds
91,Torbay,CA,47.6666,-52.7314,43.57,83,75,24.16,light rain
92,Lata,PT,40.1629,-8.3327,54.05,76,42,4.34,scattered clouds
93,Port Hardy,CA,50.6996,-127.4199,44.6,75,11,2.42,few clouds
94,Salalah,OM,17.0151,54.0924,71.69,40,0,3.44,clear sky
95,Tiksi,RU,71.6872,128.8694,-14.28,99,98,4.25,overcast clouds
96,Port Alfred,ZA,-33.5906,26.891,64.53,83,100,19.15,overcast clouds
97,Baykit,RU,61.67,96.37,-11.24,99,87,1.68,overcast clouds
98,Dingle,PH,10.9995,122.6711,80.78,84,91,10.4,overcast clouds
99,Waipawa,NZ,-41.4122,175.5153,61.43,48,0,19.8,clear sky
100,Watertown,US,42.3709,-71.1828,42.85,64,1,3.0,clear sky
101,Fort Morgan,US,40.2503,-103.8,61.81,18,1,18.41,clear sky
102,Lebu,CL,-37.6167,-73.65,53.53,78,1,24.25,clear sky
103,San Felipe,VE,10.3399,-68.7425,71.19,96,98,3.8,overcast clouds
104,Muscat,OM,23.6139,58.5922,71.62,51,0,6.8,clear sky
105,Lichinga,MZ,-13.3128,35.2406,64.49,55,20,6.91,few clouds
106,Half Moon Bay,US,37.4636,-122.4286,67.01,78,1,10.36,clear sky
107,Novyy Urengoy,RU,66.0833,76.6333,8.6,96,100,9.66,light snow
108,Port Moresby,PG,-9.4431,147.1797,87.22,70,40,9.22,scattered clouds
109,Bethel,US,41.3712,-73.414,43.65,68,1,5.75,clear sky
